Start,End,Open
2016-02-29,2016-03-07,433.504
2016-02-22,2016-02-29,438.798
2016-02-15,2016-02-22,407.23
2016-02-08,2016-02-15,376.62
2016-02-01,2016-02-08,368.767
2016-01-25,2016-02-01,402.971
2016-01-18,2016-01-25,382.299
2016-01-11,2016-01-18,447.991
2016-01-04,2016-01-11,430.011
2015-12-28,2016-01-04,422.823
2015-12-21,2015-12-28,442.685
2015-12-14,2015-12-21,433.755
2015-12-07,2015-12-14,388.783
2015-11-30,2015-12-07,371.294
2015-11-23,2015-11-30,324.536
2015-11-16,2015-11-23,320.166
2015-11-09,2015-11-16,373.368
2015-11-02,2015-11-09,325.431
2015-10-26,2015-11-02,283.68
2015-10-19,2015-10-26,261.643
2015-10-12,2015-10-19,247.05
2015-10-05,2015-10-12,238.259
2015-09-28,2015-10-05,232.757
2015-09-21,2015-09-28,231.212
2015-09-14,2015-09-21,230.512
2015-09-07,2015-09-14,239.84
2015-08-31,2015-09-07,228.761
2015-08-24,2015-08-31,228.169
2015-08-17,2015-08-24,258.507
2015-08-10,2015-08-17,265.083
2015-08-03,2015-08-10,282.614
2015-07-27,2015-08-03,292.686
2015-07-20,2015-07-27,273.614
2015-07-13,2015-07-20,310.867
2015-07-06,2015-07-13,271.913
2015-06-29,2015-07-06,249.011
2015-06-22,2015-06-29,243.944
2015-06-15,2015-06-22,233.543
2015-06-08,2015-06-15,222.881
2015-06-01,2015-06-08,230.19
2015-05-25,2015-06-01,240.953
2015-05-18,2015-05-25,236.802
2015-05-11,2015-05-18,240.296
2015-05-04,2015-05-11,240.358
2015-04-27,2015-05-04,219.43
2015-04-20,2015-04-27,222.6
2015-04-13,2015-04-20,236.153
2015-04-06,2015-04-13,260.598
2015-03-30,2015-04-06,242.713
2015-03-23,2015-03-30,267.96
2015-03-16,2015-03-23,286.393
2015-03-09,2015-03-16,274.354
2015-03-02,2015-03-09,260.202
2015-02-23,2015-03-02,235.977
2015-02-16,2015-02-23,234.825
2015-02-09,2015-02-16,223.412
2015-02-02,2015-02-09,226.972
2015-01-26,2015-02-02,253.718
2015-01-19,2015-01-26,210.339
2015-01-12,2015-01-19,265.66
2015-01-05,2015-01-12,264.195
2014-12-29,2015-01-05,317.239
2014-12-22,2014-12-29,320.843
2014-12-15,2014-12-22,351.632
2014-12-08,2014-12-15,375.095
2014-12-01,2014-12-08,378.047
2014-11-24,2014-12-01,367.573
2014-11-17,2014-11-24,387.882
2014-11-10,2014-11-17,363.264
2014-11-03,2014-11-10,325.892
2014-10-27,2014-11-03,354.704
2014-10-20,2014-10-27,389.546
2014-10-13,2014-10-20,378.549
2014-10-06,2014-10-13,320.51
2014-09-29,2014-10-06,377.181
2014-09-22,2014-09-29,398.821
2014-09-15,2014-09-22,477.892
2014-09-08,2014-09-15,482.278
2014-09-01,2014-09-08,477.763
2014-08-25,2014-09-01,508.286
2014-08-18,2014-08-25,491.795
2014-08-11,2014-08-18,591.061
2014-08-04,2014-08-11,586.666
2014-07-28,2014-08-04,593.852
2014-07-21,2014-07-28,623.9
2014-07-14,2014-07-21,626.497
